Date,Datetime,Hour,Time_of_day,Day_of_week,Month,Month_year,Year,Payment_type,Card,Coffee_name,Money
3/4/2024,3/4/2024 11:05,11,morning,Monday,March,2024-03,2024,card,ANON-0000-0000-0012,Americano with Milk,33.8
3/4/2024,3/4/2024 14:04,14,at noon,Monday,March,2024-03,2024,card,ANON-0000-0000-0022,Espresso,24
3/5/2024,3/5/2024 9:59,9,morning,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0001,Latte,38.7
3/5/2024,3/5/2024 14:34,14,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0023,Latte,38.7
3/5/2024,3/5/2024 17:34,17,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0024,Latte,38.7
3/5/2024,3/5/2024 17:35,17,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0025,Hot Chocolate,38.7
3/5/2024,3/5/2024 17:36,17,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0026,Cocoa,38.7
3/5/2024,3/5/2024 17:37,17,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0027,Hot Chocolate,38.7
3/5/2024,3/5/2024 17:38,17,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0009,Hot Chocolate,38.7
3/5/2024,3/5/2024 17:56,17,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0028,Cortado,28.9
3/5/2024,3/5/2024 18:01,18,evening,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0028,Hot Chocolate,38.7
3/6/2024,3/6/2024 12:30,12,at noon,Wednesday,March,2024-03,2024,cash,N/A,Americano with Milk,35
3/6/2024,3/6/2024 13:24,13,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0012,Americano,28.9
3/6/2024,3/6/2024 13:25,13,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0012,Cortado,28.9
3/6/2024,3/6/2024 14:52,14,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0029,Cappuccino,38.7
3/6/2024,3/6/2024 14:53,14,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0029,Cappuccino,38.7
3/7/2024,3/7/2024 10:08,10,morning,Thursday,March,2024-03,2024,cash,N/A,Latte,40
3/7/2024,3/7/2024 10:18,10,morning,Thursday,March,2024-03,2024,card,ANON-0000-0000-0030,Hot Chocolate,38.7
3/7/2024,3/7/2024 11:03,11,morning,Thursday,March,2024-03,2024,card,ANON-0000-0000-0031,Latte,38.7
3/7/2024,3/7/2024 11:25,11,morning,Thursday,March,2024-03,2024,cash,N/A,Latte,40
3/7/2024,3/7/2024 15:40,15,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0032,Americano,28.9
3/7/2024,3/7/2024 15:41,15,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0033,Americano with Milk,33.8
3/8/2024,3/8/2024 10:34,10,morning,Friday,March,2024-03,2024,card,ANON-0000-0000-0012,Cortado,28.9
3/8/2024,3/8/2024 12:22,12,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0034,Cappuccino,38.7
3/8/2024,3/8/2024 13:53,13,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0035,Americano,28.9
3/8/2024,3/8/2024 14:44,14,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0012,Americano,28.9
3/8/2024,3/8/2024 14:45,14,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0033,Americano,28.9
3/8/2024,3/8/2024 14:46,14,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0012,Americano with Milk,33.8
3/8/2024,3/8/2024 18:57,18,evening,Friday,March,2024-03,2024,card,ANON-0000-0000-0036,Latte,38.7
3/8/2024,3/8/2024 18:59,18,evening,Friday,March,2024-03,2024,card,ANON-0000-0000-0037,Latte,38.7
3/9/2024,3/9/2024 11:49,11,morning,Saturday,March,2024-03,2024,cash,N/A,Hot Chocolate,40
3/9/2024,3/9/2024 12:05,12,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0038,Espresso,24
3/9/2024,3/9/2024 12:07,12,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0039,Americano,28.9
3/9/2024,3/9/2024 12:09,12,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0012,Cappuccino,38.7
3/9/2024,3/9/2024 12:13,12,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0040,Americano,28.9
3/9/2024,3/9/2024 12:14,12,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0040,Americano,28.9
3/9/2024,3/9/2024 13:09,13,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0041,Latte,38.7
3/9/2024,3/9/2024 13:41,13,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0042,Americano with Milk,33.8
3/9/2024,3/9/2024 13:53,13,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0043,Cortado,28.9
3/9/2024,3/9/2024 13:54,13,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0043,Cappuccino,38.7
3/9/2024,3/9/2024 14:08,14,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0009,Americano with Milk,33.8
3/9/2024,3/9/2024 14:26,14,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0044,Hot Chocolate,38.7
3/9/2024,3/9/2024 19:17,19,evening,Saturday,March,2024-03,2024,card,ANON-0000-0000-0009,Cappuccino,38.7
3/9/2024,3/9/2024 19:19,19,evening,Saturday,March,2024-03,2024,card,ANON-0000-0000-0009,Hot Chocolate,38.7
3/10/2024,3/10/2024 7:44,7,morning,Sunday,March,2024-03,2024,cash,N/A,Americano,30
3/10/2024,3/10/2024 7:45,7,morning,Sunday,March,2024-03,2024,cash,N/A,Americano with Milk,35
3/10/2024,3/10/2024 10:06,10,morning,Sunday,March,2024-03,2024,cash,N/A,Latte,40
3/10/2024,3/10/2024 11:19,11,morning,Sunday,March,2024-03,2024,card,ANON-0000-0000-0045,Espresso,24
3/10/2024,3/10/2024 17:51,17,at noon,Sunday,March,2024-03,2024,cash,N/A,Americano with Milk,35
3/10/2024,3/10/2024 19:34,19,evening,Sunday,March,2024-03,2024,card,ANON-0000-0000-0046,Latte,38.7
3/10/2024,3/10/2024 19:35,19,evening,Sunday,March,2024-03,2024,card,ANON-0000-0000-0046,Cortado,28.9
3/11/2024,3/11/2024 10:18,10,morning,Monday,March,2024-03,2024,cash,N/A,Latte,40
3/11/2024,3/11/2024 11:24,11,morning,Monday,March,2024-03,2024,cash,N/A,Cappuccino,40
3/11/2024,3/11/2024 11:24,11,morning,Monday,March,2024-03,2024,cash,N/A,Cortado,30
3/11/2024,3/11/2024 11:26,11,morning,Monday,March,2024-03,2024,cash,N/A,Americano,30
3/11/2024,3/11/2024 11:32,11,morning,Monday,March,2024-03,2024,card,ANON-0000-0000-0035,Cappuccino,38.7
3/11/2024,3/11/2024 16:24,16,at noon,Monday,March,2024-03,2024,card,ANON-0000-0000-0047,Americano,28.9
3/11/2024,3/11/2024 16:25,16,at noon,Monday,March,2024-03,2024,card,ANON-0000-0000-0047,Latte,38.7
3/11/2024,3/11/2024 16:50,16,at noon,Monday,March,2024-03,2024,card,ANON-0000-0000-0048,Cortado,28.9
3/12/2024,3/12/2024 10:15,10,morning,Tuesday,March,2024-03,2024,cash,N/A,Latte,40
3/12/2024,3/12/2024 10:15,10,morning,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0033,Americano,28.9
3/12/2024,3/12/2024 10:16,10,morning,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0033,Cortado,28.9
3/12/2024,3/12/2024 11:20,11,morning,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0049,Hot Chocolate,38.7
3/12/2024,3/12/2024 12:46,12,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0004,Americano with Milk,33.8
3/12/2024,3/12/2024 12:47,12,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0004,Americano,28.9
3/12/2024,3/12/2024 16:15,16,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0050,Americano,28.9
3/13/2024,3/13/2024 11:06,11,morning,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0048,Hot Chocolate,38.7
3/13/2024,3/13/2024 11:48,11,morning,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0004,Americano,28.9
3/13/2024,3/13/2024 12:18,12,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0051,Americano,28.9
3/13/2024,3/13/2024 12:19,12,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0051,Americano,28.9
3/13/2024,3/13/2024 12:34,12,at noon,Wednesday,March,2024-03,2024,cash,N/A,Espresso,25
3/13/2024,3/13/2024 14:26,14,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0052,Americano with Milk,33.8
3/13/2024,3/13/2024 15:40,15,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0053,Espresso,24
3/13/2024,3/13/2024 15:41,15,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0053,Espresso,24
3/13/2024,3/13/2024 16:47,16,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0054,Espresso,24
3/14/2024,3/14/2024 10:02,10,morning,Thursday,March,2024-03,2024,cash,N/A,Latte,40
3/14/2024,3/14/2024 10:28,10,morning,Thursday,March,2024-03,2024,card,ANON-0000-0000-0055,Latte,38.7
3/14/2024,3/14/2024 10:29,10,morning,Thursday,March,2024-03,2024,card,ANON-0000-0000-0055,Hot Chocolate,38.7
3/14/2024,3/14/2024 13:27,13,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0012,Cortado,28.9
3/14/2024,3/14/2024 13:28,13,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0012,Americano,28.9
3/14/2024,3/14/2024 13:52,13,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0056,Americano with Milk,33.8
3/14/2024,3/14/2024 13:52,13,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0057,Espresso,24
3/14/2024,3/14/2024 15:20,15,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0058,Latte,38.7
3/14/2024,3/14/2024 16:04,16,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0059,Americano with Milk,33.8
3/14/2024,3/14/2024 16:54,16,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0050,Espresso,24
3/14/2024,3/14/2024 18:58,18,evening,Thursday,March,2024-03,2024,card,ANON-0000-0000-0019,Hot Chocolate,38.7
3/14/2024,3/14/2024 19:00,19,evening,Thursday,March,2024-03,2024,card,ANON-0000-0000-0012,Cortado,28.9
3/15/2024,3/15/2024 10:02,10,morning,Friday,March,2024-03,2024,cash,N/A,Latte,40
3/15/2024,3/15/2024 10:53,10,morning,Friday,March,2024-03,2024,card,ANON-0000-0000-0060,Hot Chocolate,38.7
3/15/2024,3/15/2024 18:19,18,evening,Friday,March,2024-03,2024,card,ANON-0000-0000-0012,Americano,28.9
3/16/2024,3/16/2024 12:06,12,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0061,Americano with Milk,33.8
3/16/2024,3/16/2024 12:07,12,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0061,Americano,28.9
3/16/2024,3/16/2024 15:58,15,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0009,Cortado,28.9
3/16/2024,3/16/2024 16:03,16,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0009,Cortado,28.9
3/16/2024,3/16/2024 16:04,16,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0012,Cortado,28.9
3/16/2024,3/16/2024 17:58,17,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0062,Americano with Milk,33.8
3/17/2024,3/17/2024 10:10,10,morning,Sunday,March,2024-03,2024,cash,N/A,Latte,40
3/17/2024,3/17/2024 12:55,12,at noon,Sunday,March,2024-03,2024,card,ANON-0000-0000-0063,Cortado,28.9
3/18/2024,3/18/2024 11:18,11,morning,Monday,March,2024-03,2024,card,ANON-0000-0000-0064,Cortado,28.9
3/18/2024,3/18/2024 15:31,15,at noon,Monday,March,2024-03,2024,card,ANON-0000-0000-0003,Americano,28.9
3/18/2024,3/18/2024 15:32,15,at noon,Monday,March,2024-03,2024,card,ANON-0000-0000-0003,Americano,28.9
3/18/2024,3/18/2024 15:33,15,at noon,Monday,March,2024-03,2024,card,ANON-0000-0000-0003,Americano,28.9
3/19/2024,3/19/2024 10:20,10,morning,Tuesday,March,2024-03,2024,cash,N/A,Cortado,30
3/19/2024,3/19/2024 14:02,14,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0065,Latte,38.7
3/19/2024,3/19/2024 14:03,14,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0065,Latte,38.7
3/19/2024,3/19/2024 15:04,15,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0049,Hot Chocolate,38.7
3/19/2024,3/19/2024 16:53,16,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0066,Americano with Milk,33.8
3/19/2024,3/19/2024 19:26,19,evening,Tuesday,March,2024-03,2024,cash,N/A,Hot Chocolate,40
3/20/2024,3/20/2024 11:41,11,morning,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0012,Cortado,28.9
3/20/2024,3/20/2024 12:21,12,at noon,Wednesday,March,2024-03,2024,cash,N/A,Latte,40
3/20/2024,3/20/2024 12:30,12,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0049,Cortado,28.9
3/20/2024,3/20/2024 13:16,13,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0067,Cappuccino,38.7
3/20/2024,3/20/2024 16:42,16,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0050,Cocoa,38.7
3/20/2024,3/20/2024 17:50,17,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0068,Latte,38.7
3/21/2024,3/21/2024 10:18,10,morning,Thursday,March,2024-03,2024,cash,N/A,Cappuccino,40
3/21/2024,3/21/2024 12:25,12,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0012,Cortado,28.9
3/21/2024,3/21/2024 12:26,12,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0012,Cappuccino,38.7
3/21/2024,3/21/2024 17:21,17,at noon,Thursday,March,2024-03,2024,cash,N/A,Americano,30
3/21/2024,3/21/2024 17:22,17,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0012,Cortado,28.9
3/21/2024,3/21/2024 19:20,19,evening,Thursday,March,2024-03,2024,card,ANON-0000-0000-0069,Latte,38.7
3/22/2024,3/22/2024 10:35,10,morning,Friday,March,2024-03,2024,card,ANON-0000-0000-0070,Americano with Milk,33.8
3/22/2024,3/22/2024 13:29,13,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0071,Americano with Milk,33.8
3/22/2024,3/22/2024 16:15,16,at noon,Friday,March,2024-03,2024,cash,N/A,Cappuccino,40
3/22/2024,3/22/2024 17:17,17,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0012,Americano,28.9
3/22/2024,3/22/2024 17:17,17,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0012,Espresso,24
3/22/2024,3/22/2024 17:20,17,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0050,Americano,28.9
3/23/2024,3/23/2024 10:44,10,morning,Saturday,March,2024-03,2024,card,ANON-0000-0000-0072,Latte,38.7
3/23/2024,3/23/2024 10:45,10,morning,Saturday,March,2024-03,2024,card,ANON-0000-0000-0073,Americano with Milk,33.8
3/23/2024,3/23/2024 13:10,13,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0074,Cappuccino,38.7
3/23/2024,3/23/2024 13:11,13,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0074,Cocoa,38.7
3/23/2024,3/23/2024 14:44,14,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0075,Americano with Milk,33.8
3/23/2024,3/23/2024 15:47,15,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0076,Latte,38.7
3/23/2024,3/23/2024 15:49,15,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0076,Americano with Milk,33.8
3/23/2024,3/23/2024 16:00,16,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0009,Cortado,28.9
3/24/2024,3/24/2024 10:03,10,morning,Sunday,March,2024-03,2024,cash,N/A,Latte,40
3/24/2024,3/24/2024 18:45,18,evening,Sunday,March,2024-03,2024,card,ANON-0000-0000-0077,Latte,38.7
3/25/2024,3/25/2024 10:31,10,morning,Monday,March,2024-03,2024,card,ANON-0000-0000-0009,Latte,38.7
3/25/2024,3/25/2024 11:16,11,morning,Monday,March,2024-03,2024,cash,N/A,Americano with Milk,35
3/25/2024,3/25/2024 14:27,14,at noon,Monday,March,2024-03,2024,card,ANON-0000-0000-0078,Latte,38.7
3/25/2024,3/25/2024 14:29,14,at noon,Monday,March,2024-03,2024,card,ANON-0000-0000-0017,Latte,38.7
3/25/2024,3/25/2024 18:37,18,evening,Monday,March,2024-03,2024,card,ANON-0000-0000-0024,Americano with Milk,33.8
3/25/2024,3/25/2024 19:34,19,evening,Monday,March,2024-03,2024,card,ANON-0000-0000-0079,Cappuccino,38.7
3/26/2024,3/26/2024 10:35,10,morning,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0055,Cocoa,38.7
3/26/2024,3/26/2024 10:36,10,morning,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0055,Latte,38.7
3/26/2024,3/26/2024 10:42,10,morning,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0080,Latte,38.7
3/26/2024,3/26/2024 11:11,11,morning,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0009,Cortado,28.9
3/26/2024,3/26/2024 13:35,13,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0003,Americano,28.9
3/26/2024,3/26/2024 13:36,13,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0032,Cortado,28.9
3/26/2024,3/26/2024 13:38,13,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0059,Cortado,28.9
3/26/2024,3/26/2024 13:57,13,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0050,Americano,28.9
3/26/2024,3/26/2024 15:48,15,at noon,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0081,Latte,38.7
3/26/2024,3/26/2024 18:33,18,evening,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0024,Latte,38.7
3/26/2024,3/26/2024 18:34,18,evening,Tuesday,March,2024-03,2024,card,ANON-0000-0000-0009,Hot Chocolate,38.7
3/27/2024,3/27/2024 11:04,11,morning,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0003,Cortado,28.9
3/27/2024,3/27/2024 11:05,11,morning,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0003,Americano with Milk,33.8
3/27/2024,3/27/2024 12:57,12,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0082,Americano with Milk,33.8
3/27/2024,3/27/2024 13:35,13,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0083,Hot Chocolate,38.7
3/27/2024,3/27/2024 14:22,14,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0012,Cappuccino,38.7
3/27/2024,3/27/2024 14:23,14,at noon,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0012,Americano,28.9
3/27/2024,3/27/2024 18:30,18,evening,Wednesday,March,2024-03,2024,card,ANON-0000-0000-0084,Cortado,28.9
3/27/2024,3/27/2024 19:31,19,evening,Wednesday,March,2024-03,2024,cash,N/A,Latte,40
3/28/2024,3/28/2024 14:24,14,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0085,Cortado,28.9
3/28/2024,3/28/2024 17:24,17,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0012,Cortado,28.9
3/28/2024,3/28/2024 17:27,17,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0012,Americano,28.9
3/28/2024,3/28/2024 17:32,17,at noon,Thursday,March,2024-03,2024,card,ANON-0000-0000-0086,Latte,38.7
3/29/2024,3/29/2024 10:56,10,morning,Friday,March,2024-03,2024,card,ANON-0000-0000-0087,Latte,38.7
3/29/2024,3/29/2024 12:34,12,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0088,Cappuccino,38.7
3/29/2024,3/29/2024 12:41,12,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0088,Cappuccino,38.7
3/29/2024,3/29/2024 13:22,13,at noon,Friday,March,2024-03,2024,cash,N/A,Cappuccino,40
3/30/2024,3/30/2024 11:59,11,morning,Saturday,March,2024-03,2024,card,ANON-0000-0000-0069,Latte,38.7
3/30/2024,3/30/2024 13:49,13,at noon,Saturday,March,2024-03,2024,cash,N/A,Cappuccino,40
3/30/2024,3/30/2024 16:12,16,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0017,Latte,38.7
3/30/2024,3/30/2024 16:36,16,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0009,Latte,38.7
3/30/2024,3/30/2024 16:37,16,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0009,Americano with Milk,33.8
3/31/2024,3/31/2024 10:40,10,morning,Sunday,March,2024-03,2024,card,ANON-0000-0000-0089,Cappuccino,38.7
3/31/2024,3/31/2024 19:36,19,evening,Sunday,March,2024-03,2024,cash,N/A,Americano,30
4/1/2024,4/1/2024 10:28,10,morning,Monday,April,2024-04,2024,card,ANON-0000-0000-0004,Americano,28.9
4/1/2024,4/1/2024 10:29,10,morning,Monday,April,2024-04,2024,card,ANON-0000-0000-0004,Americano with Milk,33.8
4/1/2024,4/1/2024 10:30,10,morning,Monday,April,2024-04,2024,card,ANON-0000-0000-0004,Americano with Milk,33.8
4/1/2024,4/1/2024 11:15,11,morning,Monday,April,2024-04,2024,card,ANON-0000-0000-0009,Americano with Milk,33.8
4/1/2024,4/1/2024 17:01,17,at noon,Monday,April,2024-04,2024,cash,N/A,Cappuccino,40
4/1/2024,4/1/2024 18:18,18,evening,Monday,April,2024-04,2024,card,ANON-0000-0000-0024,Americano with Milk,33.8
4/1/2024,4/1/2024 18:45,18,evening,Monday,April,2024-04,2024,card,ANON-0000-0000-0090,Hot Chocolate,38.7
4/2/2024,4/2/2024 10:01,10,morning,Tuesday,April,2024-04,2024,card,ANON-0000-0000-0001,Latte,38.7
4/2/2024,4/2/2024 16:18,16,at noon,Tuesday,April,2024-04,2024,card,ANON-0000-0000-0003,Americano,28.9
4/2/2024,4/2/2024 16:19,16,at noon,Tuesday,April,2024-04,2024,card,ANON-0000-0000-0003,Cortado,28.9
4/2/2024,4/2/2024 19:59,19,evening,Tuesday,April,2024-04,2024,cash,N/A,Cappuccino,40
4/3/2024,4/3/2024 10:19,10,morning,Wednesday,April,2024-04,2024,card,ANON-0000-0000-0003,Cortado,28.9
4/3/2024,4/3/2024 10:20,10,morning,Wednesday,April,2024-04,2024,card,ANON-0000-0000-0003,Americano,28.9
4/3/2024,4/3/2024 13:12,13,at noon,Wednesday,April,2024-04,2024,card,ANON-0000-0000-0012,Cappuccino,38.7
4/3/2024,4/3/2024 15:36,15,at noon,Wednesday,April,2024-04,2024,cash,N/A,Cortado,30
4/4/2024,4/4/2024 10:44,10,morning,Thursday,April,2024-04,2024,card,ANON-0000-0000-0091,Latte,38.7
4/4/2024,4/4/2024 11:26,11,morning,Thursday,April,2024-04,2024,card,ANON-0000-0000-0092,Latte,38.7
4/4/2024,4/4/2024 11:27,11,morning,Thursday,April,2024-04,2024,card,ANON-0000-0000-0093,Cappuccino,38.7
